Start,Stop,Line_ID,Color_ID,geometry
Uhlandstraße,Kurfürstendamm,U1,green,"LINESTRING(13.325556 52.5025, 13.332778 52.504167)"
Kurfürstendamm,Wittenbergplatz,U1,green,"LINESTRING(13.332778 52.504167, 13.343056 52.501944)"
Wittenbergplatz,Nollendorfplatz,U1,green,"LINESTRING(13.343056 52.501944, 13.353889 52.499167)"
Nollendorfplatz,Kurfürstenstraße,U1,green,"LINESTRING(13.353889 52.499167, 13.361944 52.5)"
Kurfürstenstraße,Gleisdreieck,U1,green,"LINESTRING(13.361944 52.5, 13.375278 52.498333)"
Gleisdreieck,Möckernbrücke,U1,green,"LINESTRING(13.375278 52.498333, 13.382778 52.499167)"
Möckernbrücke,Hallesches Tor,U1,green,"LINESTRING(13.382778 52.499167, 13.391111 52.497778)"
Hallesches Tor,Prinzenstraße,U1,green,"LINESTRING(13.391111 52.497778, 13.406111 52.498333)"
Prinzenstraße,Kottbusser Tor,U1,green,"LINESTRING(13.406111 52.498333, 13.418056 52.499167)"
Kottbusser Tor,Görlitzer Bahnhof,U1,green,"LINESTRING(13.418056 52.499167, 13.428 52.499)"
Görlitzer Bahnhof,Schlesisches Tor,U1,green,"LINESTRING(13.428 52.499, 13.441667 52.500833)"
Schlesisches Tor,Warschauer Straße,U1,green,"LINESTRING(13.441667 52.500833, 13.4491 52.5051)"
Ruhleben,Olympia-Stadion,U2,red,"LINESTRING(13.241389 52.525556, 13.25 52.517222)"
Olympia-Stadion,Neu-Westend,U2,red,"LINESTRING(13.25 52.517222, 13.261111 52.515556)"
Neu-Westend,Thedor-Heuss-Platz,U2,red,"LINESTRING(13.261111 52.515556, 13.273056 52.509722)"
Thedor-Heuss-Platz,Kaiserdamm,U2,red,"LINESTRING(13.273056 52.509722, 13.282222 52.51)"
Kaiserdamm,Sophie-Charlotte-Platz,U2,red,"LINESTRING(13.282222 52.51, 13.296667 52.510833)"
Sophie-Charlotte-Platz,Bismarckstraße,U2,red,"LINESTRING(13.296667 52.510833, 13.304722 52.511389)"
Bismarckstraße,Deutsche Oper,U2,red,"LINESTRING(13.304722 52.511389, 13.310556 52.511944)"
Deutsche Oper,Ernst-Reuter-Platz,U2,red,"LINESTRING(13.310556 52.511944, 13.321667 52.512778)"
Ernst-Reuter-Platz,Zoologischer Garten,U2,red,"LINESTRING(13.321667 52.512778, 13.3325 52.507222)"
Zoologischer Garten,Wittenbergplatz,U2,red,"LINESTRING(13.3325 52.507222, 13.343056 52.502944)"
