Start,Stop,Line_ID,Color_ID,geometry
Wittenbergplatz,Kurfürstendamm,U1,Green,"LINESTRING(13.343056 52.501944, 13.332778 52.504167)"
Kurfürstendamm,Uhlandstraße,U1,Green,"LINESTRING(13.332778 52.504167, 13.325556 52.5025)"
Ruhleben,Olympia-Stadion,U2,Red,"LINESTRING(13.241389 52.525556, 13.25 52.517222)"
Olympia-Stadion,Neu-Westend,U2,Red,"LINESTRING(13.25 52.517222, 13.261111 52.515556)"
Neu-Westend,Thedor-Heuss-Platz,U2,Red,"LINESTRING(13.261111 52.515556, 13.273056 52.509722)"
Thedor-Heuss-Platz,Kaiserdamm,U2,Red,"LINESTRING(13.273056 52.509722, 13.282222 52.51)"
Kaiserdamm,Sophie-Charlotte-Platz,U2,Red,"LINESTRING(13.282222 52.51, 13.296667 52.510833)"
Sophie-Charlotte-Platz,Bismarckstraße,U2,Red,"LINESTRING(13.296667 52.510833, 13.304722 52.511389)"
Bismarckstraße,Deutsche Oper,U2,Red,"LINESTRING(13.304722 52.511389, 13.310556 52.511944)"
Deutsche Oper,Ernst-Reuter-Platz,U2,Red,"LINESTRING(13.310556 52.511944, 13.321667 52.512778)"
Ernst-Reuter-Platz,Zoologischer Garten,U2,Red,"LINESTRING(13.321667 52.512778, 13.3325 52.507222)"
Zoologischer Garten,Wittenbergplatz,U2,Red,"LINESTRING(13.3325 52.507222, 13.343056 52.501944)"
Wittenbergplatz,Nollendorfplatz,U2,Red,"LINESTRING(13.343056 52.501944, 13.353889 52.499167)"
Nollendorfplatz,Bülowstraße,U2,Red,"LINESTRING(13.353889 52.499167, 13.362287 52.497701)"
Bülowstraße,Gleisdreieck,U2,Red,"LINESTRING(13.362287 52.497701, 13.375278 52.498333)"
Gleisdreieck,Mendelssohn-Bartholdy-Park,U2,Red,"LINESTRING(13.375278 52.498333, 13.375 52.503889)"
Mendelssohn-Bartholdy-Park,Postdamer Platz,U2,Red,"LINESTRING(13.375 52.503889, 13.375833 52.509444)"
Postdamer Platz,Mohrenstraße,U2,Red,"LINESTRING(13.375833 52.509444, 13.384722 52.511667)"
Mohrenstraße,Staftmitte,U2,Red,"LINESTRING(13.384722 52.511667, 13.389444 52.512222)"
Staftmitte,Hausvogteiplatz,U2,Red,"LINESTRING(13.389444 52.512222, 13.396667 52.513056)"
Hausvogteiplatz,Spittelmarkt,U2,Red,"LINESTRING(13.396667 52.513056, 13.403611 52.511111)"
Spittelmarkt,Märkisches Museum,U2,Red,"LINESTRING(13.403611 52.511111, 13.408889 52.511944)"
Märkisches Museum,Klosterstraße,U2,Red,"LINESTRING(13.408889 52.511944, 13.412222 52.516111)"
Klosterstraße,Alexanderplatz,U2,Red,"LINESTRING(13.412222 52.516111, 13.411944 52.521389)"
Alexanderplatz,Rosa-Luxemburg-Platz,U2,Red,"LINESTRING(13.411944 52.521389, 13.410556 52.5275)"
Rosa-Luxemburg-Platz,Senefelderplatz,U2,Red,"LINESTRING(13.410556 52.5275, 13.4125 52.532222)"
Senefelderplatz,Eberswalder Straße,U2,Red,"LINESTRING(13.4125 52.532222,13.412222 52.541944)"
Eberswalder Straße,Schönhauser Allee,U2,Red,"LINESTRING(13.412222 52.541944, 13.413889 52.549444)"
Schönhauser Allee,Vinetastraße,U2,Red,"LINESTRING(13.413889 52.549444, 13.413333 52.559444)"
Vinetastraße,Pankow,U2,Red,"LINESTRING(13.413333 52.559444, 13.411111 52.566667)"
Pankow,Vinetastraße,U2,Red,"LINESTRING(13.411111 52.566667, 13.413333 52.559444)"
Vinetastraße,Schönhauser Allee,U2,Red,"LINESTRING(13.413333 52.559444, 13.413889 52.549444)"
Schönhauser Allee,Eberswalder Straße,U2,Red,"LINESTRING(13.413889 52.549444, 13.412222 52.541944)"
Eberswalder Straße,Senefelderplatz,U2,Red,"LINESTRING(13.412222 52.541944, 13.4125 52.532222)"
Senefelderplatz,Rosa-Luxemburg-Platz,U2,Red,"LINESTRING(13.4125 52.532222, 13.410556 52.5275)"
Rosa-Luxemburg-Platz,Alexanderplatz,U2,Red,"LINESTRING(13.410556 52.5275, 13.411944 52.521389)"
Alexanderplatz,Klosterstraße,U2,Red,"LINESTRING(13.411944 52.521389, 13.412222 52.516111)"
Klosterstraße,Märkisches Museum,U2,Red,"LINESTRING(13.412222 52.516111, 13.408889 52.511944)"
Märkisches Museum,Spittelmarkt,U2,Red,"LINESTRING(13.408889 52.511944, 13.403611 52.511111)"
Spittelmarkt,Hausvogteiplatz,U2,Red,"LINESTRING(13.403611 52.511111, 13.396667 52.513056)"
Hausvogteiplatz,Staftmitte,U2,Red,"LINESTRING(13.396667 52.513056, 13.389444 52.512222)"
Staftmitte,Mohrenstraße,U2,Red,"LINESTRING(13.389444 52.512222, 13.384722 52.511667)"
Mohrenstraße,Postdamer Platz,U2,Red,"LINESTRING(13.384722 52.511667, 13.375833 52.509444)"
Postdamer Platz,Mendelssohn-Bartholdy-Park,U2,Red,"LINESTRING(13.375833 52.509444, 13.375 52.503889)"
Mendelssohn-Bartholdy-Park,Gleisdreieck,U2,Red,"LINESTRING(13.375 52.503889, 13.375278 52.498333)"
Gleisdreieck,Bülowstraße,U2,Red,"LINESTRING(13.375278 52.498333, 13.362287 52.497701)"
