Start,Stop,Line_ID,Color_ID,geometry
Gleisdreieck,Kurfürstenstraße,U3,darkgreen,"LINESTRING(13.375278 52.497333, 13.361944 52.499)"
Kurfürstenstraße,Nollendorfplatz,U3,darkgreen,"LINESTRING(13.361944 52.499, 13.353889 52.498167)"
Nollendorfplatz,Wittenbergplatz,U3,darkgreen,"LINESTRING(13.353889 52.498167, 13.343056 52.500944)"
Wittenbergplatz,Augsburger Straße,U3,darkgreen,"LINESTRING(13.343056 52.500944, 13.336667 52.500556)"
Augsburger Straße,Spichernstraße,U3,darkgreen,"LINESTRING(13.336667 52.500556, 13.331111 52.496667)"
Spichernstraße,Hohenzollernplatz,U3,darkgreen,"LINESTRING(13.331111 52.496667, 13.324722 52.494167)"
Hohenzollernplatz,Fehrbelliner Platz,U3,darkgreen,"LINESTRING(13.324722 52.494167, 13.314444 52.490556)"
Fehrbelliner Platz,Heidelberger Platz,U3,darkgreen,"LINESTRING(13.314444 52.490556, 13.3125 52.480278)"
Heidelberger Platz,Rüdesheimer Platz,U3,darkgreen,"LINESTRING(13.3125 52.480278, 13.314444 52.473333)"
Rüdesheimer Platz,Breitenbachplatz,U3,darkgreen,"LINESTRING(13.314444 52.473333, 13.308611 52.466944)"
Breitenbachplatz,Podbielskiallee,U3,darkgreen,"LINESTRING(13.308611 52.466944, 13.295833 52.464167)"
Podbielskiallee,Dahlem-Dorf,U3,darkgreen,"LINESTRING(13.295833 52.464167, 13.289722 52.4575)"
Dahlem-Dorf,Freie Universität (Thielplatz),U3,darkgreen,"LINESTRING(13.289722 52.4575, 13.281944 52.451111)"
Freie Universität (Thielplatz),Oskar-Helene-Heim,U3,darkgreen,"LINESTRING(13.281944 52.451111, 13.266111 52.450278)"
Oskar-Helene-Heim,Onkel Toms Hütte,U3,darkgreen,"LINESTRING(13.266111 52.450278, 13.253333 52.450278)"
Onkel Toms Hütte,Krumme Lanke,U3,darkgreen,"LINESTRING(13.253333 52.450278, 13.241111 52.443333)"
